Fecha;APRHi - Morteros - Temperatura [°C];APRHi - Morteros - Humedad [%HR];APRHi - Morteros - Punto de rocío [°C];APRHi - Morteros - Registro de Lluvia [mm];APRHi - Morteros - Velocidad de Viento [Km/h];APRHi - Morteros - Direccion de Viento [°];APRHi - Morteros - Dirección de Viento-(Rosa de los Vientos);APRHi - Morteros - Ráfaga de Viento [km/h];APRHi - Morteros - Presión [hPa];APRHi - Morteros - Radiacion Solar [w/m2];APRHi - Morteros - Indice de peligro de incendios [-];APRHi - Morteros - BUI [-];APRHi - Morteros - ISI [-];APRHi - Morteros - DC [-];APRHi - Morteros - DMC [-];APRHi - Morteros - FFMC [-];APRHi - Morteros - Batería [V];APRHi - Morteros - Señal [ASU];APRHi - Morteros - ITH [-];APRHi - Morteros - Evapotranspiración [mm/hr];Brinkmann AgriculturaCba - Temperatura [°C];Brinkmann AgriculturaCba - Humedad [%HR];Brinkmann AgriculturaCba - Punto de rocío [°C];Brinkmann AgriculturaCba - Registro de Lluvia [mm];Brinkmann AgriculturaCba - Velocidad de Viento [Km/h];Brinkmann AgriculturaCba - Direccion de Viento [°];Brinkmann AgriculturaCba - Dirección de Viento-(Rosa de los Vientos);Brinkmann AgriculturaCba - Ráfaga de Viento [km/h];Brinkmann AgriculturaCba - Presión [hPa];Brinkmann AgriculturaCba - Radiacion Solar [w/m2];Brinkmann AgriculturaCba - Indice de peligro de incendios [-];Brinkmann AgriculturaCba - BUI [-];Brinkmann AgriculturaCba - ISI [-];Brinkmann AgriculturaCba - DC [-];Brinkmann AgriculturaCba - DMC [-];Brinkmann AgriculturaCba - FFMC [-];Brinkmann AgriculturaCba - Batería [V];Brinkmann AgriculturaCba - Señal [ASU];Brinkmann AgriculturaCba - ITH [-];Brinkmann AgriculturaCba - Evapotranspiración [mm/hr];Colonia Vignaud AgriculturaCba - Temperatura [°C];Colonia Vignaud AgriculturaCba - Humedad [%HR];Colonia Vignaud AgriculturaCba - Punto de rocío [°C];Colonia Vignaud AgriculturaCba - Registro de Lluvia [mm];Colonia Vignaud AgriculturaCba - Velocidad de Viento [Km/h];Colonia Vignaud AgriculturaCba - Direccion de Viento [°];Colonia Vignaud AgriculturaCba - Dirección de Viento-(Rosa de los Vientos);Colonia Vignaud AgriculturaCba - Ráfaga de Viento [km/h];Colonia Vignaud AgriculturaCba - Presión [hPa];Colonia Vignaud AgriculturaCba - Radiacion Solar [w/m2];Colonia Vignaud AgriculturaCba - Indice de peligro de incendios [-];Colonia Vignaud AgriculturaCba - BUI [-];Colonia Vignaud AgriculturaCba - ISI [-];Colonia Vignaud AgriculturaCba - DC [-];Colonia Vignaud AgriculturaCba - DMC [-];Colonia Vignaud AgriculturaCba - FFMC [-];Colonia Vignaud AgriculturaCba - Batería [V];Colonia Vignaud AgriculturaCba - Señal [ASU];Colonia Vignaud AgriculturaCba - ITH [-];Colonia Vignaud AgriculturaCba - Evapotranspiración [mm/hr];La Paquita AgriculturaCba - Temperatura [°C];La Paquita AgriculturaCba - Humedad [%HR];La Paquita AgriculturaCba - Punto de rocío [°C];La Paquita AgriculturaCba - Registro de Lluvia [mm];La Paquita AgriculturaCba - Velocidad de Viento [Km/h];La Paquita AgriculturaCba - Direccion de Viento [°];La Paquita AgriculturaCba - Dirección de Viento-(Rosa de los Vientos);La Paquita AgriculturaCba - Ráfaga de Viento [km/h];La Paquita AgriculturaCba - Presión [hPa];La Paquita AgriculturaCba - Radiacion Solar [w/m2];La Paquita AgriculturaCba - Indice de peligro de incendios [-];La Paquita AgriculturaCba - BUI [-];La Paquita AgriculturaCba - ISI [-];La Paquita AgriculturaCba - DC [-];La Paquita AgriculturaCba - DMC [-];La Paquita AgriculturaCba - FFMC [-];La Paquita AgriculturaCba - Batería [V];La Paquita AgriculturaCba - Señal [ASU];La Paquita AgriculturaCba - ITH [-];La Paquita AgriculturaCba - Evapotranspiración [mm/hr]
01-01-2023 00:00;28;38,1;12,3;0;15,8;112,5;ESE;24,9;995;112,5;;;;;;;12,9;26;74;0,2;30,3;31,7;11,6;0;14,4;45;NE;34,3;993,8;0;;;;;;;13,1;21;;0,1;29,5;30,7;10,5;0;4,9;67,5;ENE;20,6;993,8;19,3;;;;;;;12,8;31;74,8;;30,4;29;10,3;0;9,5;22,5;NNE;19,3;994,4;0;;;;;;;12,6;26;75,5;
01-01-2023 00:10;28,1;37,5;12,3;0;15,5;112,5;ESE;25,1;995,6;112,1;;;;;;;12,9;26;74,1;;30,5;31,4;11,6;0;14,4;67,5;ENE;30,2;990,6;0;;;;;;;13,1;21;;;29,7;30,6;10,6;0;5,5;45;NE;15,5;993,8;19,3;;;;;;;12,8;31;75;;30,2;29,1;10,3;0;10,3;45;NE;22,5;993,1;0;;;;;;;12,6;26;75,3;
01-01-2023 00:20;28,2;37,1;12,2;0;16,5;112,5;ESE;25,2;994,4;112,5;;;;;;;12,9;26;74,2;;30,4;30,8;11,3;0;13;67,5;ENE;25,7;995;0;;;;;;;13,1;21;;;29,7;30,5;10,5;0;5,9;67,5;ENE;14;993,8;19,3;;;;;;;12,8;31;75;;30,2;28,8;10,1;0;10,6;22,5;NNE;21,8;993,8;0;;;;;;;12,6;26;75,2;
01-01-2023 00:30;28,3;36,9;12,2;0;17,4;112,5;ESE;25,8;995,6;112,5;;;;;;;12,9;26;74,3;;30,3;31;11,3;0;13,5;67,5;ENE;26,3;995;0;;;;;;;13,1;20;;;29,7;29,9;10,2;0;5;67,5;ENE;15,1;993,8;19,3;;;;;;;12,8;31;74,8;;30,2;28,6;10;0;11,3;22,5;NNE;23,9;993,1;0;;;;;;;12,6;26;75,2;
01-01-2023 00:40;28,2;36,8;12,1;0;15,1;112,5;ESE;24,4;994,4;112,5;;;;;;;12,9;26;74,2;;30,2;31,1;11,2;0;13,3;67,5;ENE;30,8;992,5;0;;;;;;;13,1;21;;;29,7;29,5;10;0;6,6;67,5;ENE;18,9;993,8;19,3;;;;;;;12,8;31;74,8;;30,2;28,4;9,9;0;11,2;22,5;NNE;26;992,5;0;;;;;;;12,6;26;75,2;
01-01-2023 00:50;28,2;36,4;11,9;0;15,6;112,5;ESE;25,1;995;112,5;;;;;;;12,9;26;74,1;;30,3;30,6;11,1;0;15,4;67,5;ENE;30,1;994,4;0;;;;;;;13,1;20;;;29,7;29,4;10;0;5,9;22,5;NNE;16,8;992,5;19,3;;;;;;;12,8;31;74,8;;30,2;28;9,7;0;10,6;22,5;NNE;20;993,1;0;;;;;;;12,6;26;75,2;
01-01-2023 01:00;28,2;36,5;12;0;14,8;112,5;ESE;30,7;994,4;112,5;;;;;;;12,9;25;74,1;0,2;30,4;30,4;11,1;0;14,9;67,5;ENE;30,1;992,5;0;;;;;;;13,1;20;;0,2;29,6;29,3;9,8;0;5,7;67,5;ENE;8;992,5;19,3;;;;;;;12,8;31;74,7;;30,3;27,7;9,6;0;11,8;22,5;NNE;25,8;990;0;;;;;;;12,6;26;75,2;
01-01-2023 01:10;28,2;36,4;11,9;0;15,9;112,5;ESE;24,2;995;112,5;;;;;;;12,9;25;74,1;;30,3;30,4;11;0;15;67,5;ENE;33,2;994,4;0;;;;;;;13,1;20;;;29,5;29,5;9,8;0;5,7;45;NE;13,6;992,5;19,3;;;;;;;12,8;31;74,6;;30,3;27,5;9,5;0;11,2;22,5;NNE;32,2;992,5;0;;;;;;;12,6;25;75,2;
01-01-2023 01:20;28,1;35,9;11,6;0;15,5;112,5;ESE;26,4;993,8;112,5;;;;;;;12,9;26;73,9;;30,2;30,2;10,8;0;14,4;67,5;ENE;26,8;993,8;0;;;;;;;13,1;20;;;29,3;29,5;9,7;0;5,4;67,5;ENE;16,5;993,1;19,3;;;;;;;12,8;31;74,4;;30,3;27,3;9,4;0;10,6;22,5;NNE;23;991,9;0;;;;;;;12,6;26;75,1;
01-01-2023 01:30;28,1;35,5;11,4;0;16,2;112,5;ESE;26,1;995,6;112,5;;;;;;;12,9;26;73,9;;30,1;30,4;10,8;0;15;67,5;ENE;32,3;992,5;0;;;;;;;13,1;21;;;29,2;29,8;9,7;0;4,8;45;NE;12,8;993,1;19,3;;;;;;;12,8;31;74,3;;30,3;27,2;9,3;0;11,6;22,5;NNE;23,5;990;0;;;;;;;12,6;26;75,1;
